id,split,claim,context
2682,dev,Justine Bateman is not an American.,59475; 59478
2683,dev,The New York City Landmarks Preservation Commission includes a landlord.,232809
2684,dev,Vedam stars Dutch film actors and actresses.,82015
2685,dev,"Beaverton, Oregon is a town.",166985
2686,dev,Creedence Clearwater Revival was a rattlesnake.,73128; 73128; 73128; 73128; 73128; 73128; 73128; 73128; 73128; 73128
2687,dev,Tinker Tailor Soldier Spy only stars Adam Sandler.,238520
2688,dev,Swordfish (film) is the highest grossing film.,209582
2689,dev,James Earl Jones was a voice actor in Beauty and the Beast.,145331
2690,dev,Bea Arthur was an activist for animal rights.,227056
2691,dev,West Virginia borders Maine and Kentucky to the southwest.,179756
2692,dev,Liam Neeson was nominated for three Golden Globe Awards for Best Actor in a Motion Picture Drama.,39483
2693,dev,Melancholia has Kiefer Sutherland in a starring role.,79707; 79708
2694,dev,Fortunes of War caused the union of two actors.,228212
2695,dev,"Murda Beatz was born on February 11, 1984.",161168
2696,dev,An American singer-songwriter made Hourglass.,138280
2697,dev,Kenneth Branagh stars in Fortunes of War.,228188
2698,dev,A Floppy disk is a type of storage.,77213
2699,dev,PacSun vends items made for young adults.,70984; 70993
2700,dev,In the End was Linkin Park's eleventh single.,116508
2701,dev,Johanna Braddy has no experience as an actress.,191995; 191995
2702,dev,Underdog stars Peter Dinklage.,25079
2703,dev,Peking University is in Shenzhen.,74140
2704,dev,Wish Upon was released in France.,15489
2705,dev,Jens Stoltenberg was Prime Minister of Norway.,113351
2706,dev,Janet Leigh was Canadian.,80016
2707,dev,Gordan Ramsay's bills was reported on an American business magazine in 2015.,75509
2708,dev,"Don Bradman was called the ""greatest living Australian"" by a President.",193394
2709,dev,Production took place in Sydney for the movie Australia (2008 film).,53448
2710,dev,The Mod Squad is a comedy series.,279621
2711,dev,Human trafficking is the trade of humans.,245566; 248264; 250422; 319473; 319481
2712,dev,Muscarinic acetylcholine receptors are actylcholine receptors.,44444
2713,dev,The Wallace  is historically inaccurate.,23787
2714,dev,The Chagatai language was a Turkic language spoken in India.,257068
2715,dev,Roar (song) is a song by American singer Katy Perry.,270747
2716,dev,Efraim Diveroli had a five-year sentence.,245236
2717,dev,Liam Neeson was passed over for an Academy Award.,125949
2718,dev,Selena Gomez & the Scene's debut album is War and Peace.,198611
2719,dev,Guillermo del Toro was born.,149457
2720,dev,The Bassoon King is fiction.,134007; 134010
2721,dev,Wilhelmina Slater is portrayed in a high grossing television series.,38384
2722,dev,Recovery is a solo album by Lil Wayne.,74551; 74551; 74551; 74551; 74551
2723,dev,Pharrell Williams and Shay Haley were in a band together.,34959
2724,dev,Finding Dory was written by Harry S. Truman.,213741
2725,dev,Mike Huckabee is an outspoken atheist.,37886; 37886
2726,dev,Robert Lopez has received zero Tony awards.,186368
2727,dev,John Deighton had no choice but to pursue other lines of work.,129830
2728,dev,Sandra Bullock worked with Bernie Sanders.,86956
2729,dev,The Chagatai language was completely extinct by the 1700s.,258357
2730,dev,Nestor Carbonell played Superman in The Dark Knight and The Dark Knight Rises.,41178
2731,dev,Graffiti was released by Interscope Records.,229625
2732,dev,Harold Macmillan was a senator.,90257
2733,dev,Bryan Howd was a Golden Globe nominee.,101589; 102650; 306919; 307803
2734,dev,Invasion literature was influential in France in shaping politics.,205332
2735,dev,Basildon has only one station.,102089
2736,dev,The Daily Show focuses on celebrities.,102126
2737,dev,Earl Scruggs was incapable of being a musician.,200786; 200786; 200786; 200786; 200786; 200786; 200786; 200786
2738,dev,The Cry of the Owl is a 2009 global charity event.,203325
2739,dev,Destruction of the World Trade Center took place on September 11.,206494; 206494
2740,dev,Island Records was founded in Jamaica.,272402
2741,dev,Larry the Cable Guy series finale aired on the the day of 29th.,228164
2742,dev,"Artpop had first-week sales of about 500,000 copies.",201864
2743,dev,Helmand Province is far away from Lashkargah.,15998; 301358
2744,dev,"The Palace of Caserta is in Provence, which is far to the west of Naples.",138910
2745,dev,Jim Halpert was played by John Krasinski.,292566; 294573; 295161; 340394
2746,dev,Kellogg's sells products.,277156
2747,dev,"Bruce Shand was born on June 11th, 2007.",292517; 292530; 292530; 294538; 340391; 340396; 340420
2748,dev,"Palo Alto, California's location is the San Francisco Bay Area.",243702; 243709
2749,dev,Michael Vick has a middle name.,196618
2750,dev,"The Closer's seventh season began on July 11, 2011.",250351
2751,dev,Recovery is Eminem's first album.,13739; 14104; 14980; 14980; 14980; 14980; 18952; 18952; 299303
2752,dev,Lou Gehrig got more votes than any other baseball players on the Major League Baseball All-Century Team in 1999.,96381
2753,dev,English people are descended from the Romans.,21209
2754,dev,Buffy Summers dies in a film.,190728
2755,dev,Tinker Tailor Soldier Spy stars an actor.,241761
2756,dev,"Tremont Street Subway served a light rail station on the MBTA Green Line system, and is located on the southeast corner of Boston Common at the intersection of Boylston Street and Tremont Street called Boylston station.",130636
2757,dev,Thomas Jefferson did not retire from public office.,144145
2758,dev,AMGTV has pay per view programming.,81569
2759,dev,Drake Bell released an album.,194305; 194305; 194305; 194305
2760,dev,"In the early 1970's, Heavy Metal music was developed.",132992
2761,dev,Daggering is a type of ballet.,279147; 280653; 327209
2762,dev,Diwali is one of the most popular religious festivals of Hinduism.,231481
2763,dev,Kentucky is known for the Kentucky Derby.,268083
2764,dev,Uranium-235 was discovered by a person who was born after August.,102302
2765,dev,Tamerlan Tsarnaev has been in a theater production with the police.,237949
2766,dev,Terry Crews only played amateur football.,146569
2767,dev,Kentucky is the destroyer of My Old Kentucky Home.,268069
2768,dev,Stadium Arcadium featured Ryan Ross.,247513
2769,dev,Brubaker is an award-winning film.,264394
2770,dev,Byron Howard sang in the film Tangled.,180873
2771,dev,Hot Right Now is from the author Bob Stanley.,22451
2772,dev,Shooter is about a marksman.,52889; 56269; 58988; 302830; 305041; 305044; 305050; 305051
2773,dev,Raees (film) stars Mahira Khan as Aasiya Alam.,65232
2774,dev,Tim McGraw acted in a 2009 American biographical sports drama play.,113360
2775,dev,AMGTV is not an American television network.,170207
2776,dev,James VI and I was a major advocate of a single parliament for England.,96021
2777,dev,Oscar de la Hoya quit fighting in 1990.,222222
2778,dev,Sophia Bush was only in horror films.,87285
2779,dev,Penélope Cruz has modeled for the clothing company Mango.,23922
2780,dev,Blue Jasmine has an Australian actress in it.,121128
2781,dev,Alice Cooper is Jewish.,190775
2782,dev,One album by Eminem is Recovery.,290383; 291733; 293834; 338349; 338352
2783,dev,The Prowler made his first appearance in red.,159654
2784,dev,Creedence Clearwater Revival was informally abbreviated to bucket.,105715
2785,dev,There is a Showtime series with Nicholas Brody as a character.,54442; 54443; 54444
2786,dev,Veeru Devgan is a director.,63550; 63550
2787,dev,Jeong Hyeong-don is solely Peruvian.,230046
2788,dev,Danger UXB stars David Mitchell.,120957
2789,dev,Lalla Ward is a singer.,197425
2790,dev,"Bruce Shand died on Sunday, June 11th, 2006.",182224
2791,dev,Riddick is in a film.,160997; 161006
2792,dev,CHiPs is a film.,216096; 216096; 216096; 216096
2793,dev,Highway to Heaven refused to ever run on NBC.,53418
2794,dev,Happiness in Slavery is a song by a vegan band.,227641
2795,dev,The Wallace is a historic landmark.,165902
2796,dev,Eva Green had the lead role in The Dreamers.,138797
2797,dev,Marco Polo did not travel to China.,174688
2798,dev,Augustus probably did not die from natural causes.,83207
2799,dev,Tylenol is a brand of cream.,207981
2800,dev,Southpaw is an American film from 2015.,210316
2801,dev,AMGTV is a British television network.,276451
2802,dev,The dress inspired fresh insights into vision.,45962
2803,dev,Recovery features a singer.,162236
2804,dev,The Bassoon King is a mountain.,124977; 124978; 124979; 124980; 124981; 124982; 124983; 124984; 124985
2805,dev,"Camden, New Jersey is in Camden County, New Jersey.",93024
2806,dev,A monster is always beautiful.,153787
2807,dev,Anne Sullivan was an English teacher.,199928
2808,dev,Johanna Braddy dies in a TV series on Lifetime.,191984
2809,dev,Stan Beeman is the main character.,97688
2810,dev,Keith Urban is an Australian car company.,223836
2811,dev,The Colosseum is a tourist attraction in Rome.,26201
2812,dev,Mary-Kate Olsen and Ashley Olsen are also known as the Olsen trio.,251691
2813,dev,The Armenian Genocide was the extermination of Armenians who were mostly Turkish citizens.,141219
2814,dev,Awkward Black Girl is a television series.,65081
2815,dev,Bad Romance was released as a single.,168279; 168279
2816,dev,A monk is solely a non-human animal.,258074; 258074
2817,dev,"Rio's sequel was released five years before April 11, 2014.",241701
2818,dev,Hedda Gabler's world premiere took place in Schwabing.,92332
2819,dev,"At age 18, Miranda Otto began her acting career.",96732
2820,dev,Jens Stolenberg only held the office of Prime Minister from 2000 to 2001.,41292
2821,dev,Riddick is in a true story film.,50299
2822,dev,Colin Kaepernick was quarterback backup to Alex Smith.,124762
2823,dev,Brazzers is a pornographic festival.,112559; 112560
2824,dev,Lalla Ward was named Sarah Ward.,197401
2825,dev,The Mirny (sloop-of-war) traveled the globe.,279390; 279391; 327680; 328770
2826,dev,The Hundred Years' War includes Lord Sauron.,81522
2827,dev,The 1976 thriller Duel was Steven Spielberg's directorial debut.,240277
2828,dev,Neil Diamond has a middle name called Leslie.,102809
2829,dev,Tottenham Hotspur F.C. is American.,174624
2830,dev,Psych's protagonist is acted by an American.,25790; 300511
2831,dev,The State of Palestine denies the Gaza Strip.,65974
2832,dev,Hush (2016 film) was produced by Jason Blum.,67856
2833,dev,Microbiologist research challenges information found in molecular biology.,293337
2834,dev,Sean Penn is a radio actor.,132580
2835,dev,Psych's protagonist is Shawn Spencer.,72074
2836,dev,Finding Dory was spearheaded by an American.,213698
2837,dev,Robert Lopez has won a Tony Award for a performance.,186385
2838,dev,Part of Dilwale Dulhania Le Jayenge was filmed in a town called Elisha in India.,32846
2839,dev,The Cincinnati Kid stars Edward G. Robinson as Mario.,27900
2840,dev,Michael Vick has only ever played the sport of golf.,196609; 196609; 196609; 196609; 196609; 196609; 196609; 196609
2841,dev,Hourglass was James Taylor's first album in 6 years.,183973; 186117; 187653; 314501; 316208
2842,dev,Flaked was renewed for a season lasting six episodes.,122647
2843,dev,Garden State was at the dead body.,154215
2844,dev,Victoria Palace Theatre is in Wales.,167603
2845,dev,Pearl Jam does not play rock music.,114477; 114477; 114477; 114477
2846,dev,Valencia is the third smallest city in a country.,260719
2847,dev,Morse Code is used in ground control.,145917
2848,dev,Gin is a drink.,92071; 94752; 96893; 306623; 307602
2849,dev,Giada at Home began airing in 2003.,271137
2850,dev,Daggering is associated with dancehall music.,19035
2851,dev,Invasion literature is a genre.,205305
2852,dev,Jamie Murray is not a three-time Grand Slam doubles winner.,92692
2853,dev,The State of Palestine designates West Jerusalem as the capital.,65012
2854,dev,Michelin Guides are a series of books.,155033
2855,dev,The Millers was announced for cancellation.,225476; 225481; 225482
2856,dev,L.A. Reid has been the chairman of an American record label group that formed in 1998.,41819
2857,dev,James VI and I was a major advocate of a single parliament for France.,172297
2858,dev,The Prowler was created by people.,98566
2859,dev,"Trevor Griffiths was born in Boston, Massachusetts.",46649
2860,dev,Michigan is a top destination for recreational fishing.,150806
2861,dev,Tie Your Mother Down was absent from the album A Day at the Races.,248522; 248523
2862,dev,Shinji Mikami directed Dino Crisis.,18900
2863,dev,The New Orleans Pelicans only play in the NHL.,270836
2864,dev,I Kissed a Girl is a work of music.,120025; 120025; 120025; 120025; 120025; 120025; 120025; 120025; 120025; 120025; 120025; 120025; 120025
2865,dev,Lockhead Martin F-35 Lightning II first flew in November..,77385
2866,dev,Buffy Summers appears only in a television series.,298846; 300918; 300919; 300919; 300919; 300919; 300919; 300919; 345052; 345052; 345052; 345052; 345054; 345054
2867,dev,Paris (Paris Hilton album) is without elements of reggae.,113645
2868,dev,Always is a film.,138914; 138916; 138916
2869,dev,Bermuda Triangle is where a number of aircraft and ships have disappeared under mysterious circumstances.,218151
2870,dev,A working animal is incapable of being trained.,273648; 273648; 273648
2871,dev,West Virginia borders Maryland.,68534
2872,dev,L.A. Reid served as the chairman of an energy company.,67526
2873,dev,Creedence Clearwater Revival was not a rock band.,103029; 103029; 103029
2874,dev,Vedam is a drama film.,101920
2875,dev,Magic Johnson played basketball.,172016; 172016; 172016; 172016
2876,dev,The Battle of France was not the German invasion of France.,58458
2877,dev,Philomena is only a book.,84992; 84992
2878,dev,Jeong Hyeong-don was born in 1938.,230078
2879,dev,CHiPs is an American romance film.,216095
2880,dev,Fidel Castro was a person.,58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805; 58805
2881,dev,Cadet Kelly was a Disney Channel Original.,192733
2882,dev,Luis Fonsi uses a pseudonym.,36970
2883,dev,Jeong Hyeong-don finished college in February 7.,230051
2884,dev,Wentworth Miller made his screenwriting debut with the 2013 thriller film Stoker.,208592
2885,dev,One novel is the basis for The Hunchback of Notre Dame.,217290
2886,dev,Fantastic Four (2005 film) was released in a country directly south of Canada.,287347
2887,dev,Thomas Jefferson founded the University of Virginia after retiring.,39758
2888,dev,Thomas Jefferson founded Washington College.,165432
2889,dev,Roar (song) is only featured on Katy Perry's third album.,270788
2890,dev,French Indochina was officially known as Mario after 1887.,185802
2891,dev,"Kesha sings, writes songs, and raps for a living.",168877
2892,dev,Princess Mononoke has a violent setting surrounding political topics.,211442
2893,dev,Tom DeLonge spent his entire life pursuing his life-long dream of being a scuba diver.,235741; 235741
2894,dev,Bruce Shand was awarded a settlement.,136811
2895,dev,Tie Your Mother Down was from a Queen album.,248532; 248535
2896,dev,1979 was the year when Rob Sheridan was born.,42855
2897,dev,Jewell declined to ever work with Snoop Dogg.,167022
2898,dev,Earl Scruggs was exclusively Canadian.,200754
2899,dev,The New York City Landmarks Preservation Commission includes a United States historian.,232818
2900,dev,Harris Jayaraj is an Indian man.,106391
2901,dev,Osamu Tezuka's mother only had to erase notes in his notebook.,208133
2902,dev,Natural Born Killers was based upon Tarantino's original screenplay without revision.,235583; 235591
2903,dev,Ashley Graham has appeared in Vogue magazine.,93419; 93419
2904,dev,Julianne Moore is not an actress.,171424
2905,dev,Creedence Clearwater Revival possessed John Fogerty as lead vocalist and guitarist.,39909
2906,dev,Birthday Song (2 Chainz song) was produced by Eminem.,95798
2907,dev,T2 Trainspotting is directed by a man from the capital city of Scotland.,59255
2908,dev,Oscar de la Hoya was named Fighter of the Year in the UFC.,222197
2909,dev,Natural Born Killers was directed by Oliver Stone.,235563
2910,dev,The Sterile Cuckoo was adapted by a Muslim.,219132
2911,dev,Home for the Holidays stars no deceased professionals.,215825
2912,dev,Marco Polo was not a European.,83102
2913,dev,Janet Leigh was an actress.,70476; 70476; 70476; 70476; 70476; 70476; 70476
2914,dev,Home for the Holidays stars a producer from the United States.,215824; 215828
2915,dev,Jack Falahee was born in 1989 and he is unknown.,122920
2916,dev,Tijuana is part of at least one metropolitan area.,234930
2917,dev,Cheese in the Trap (TV series) stars Seo Kang-joon.,73323
2918,dev,Southpaw is a sports drama film.,210305
2919,dev,Sidse Babett Knudsen refuses to work in theater.,106256
2920,dev,Arizona is a state of the United States.,171028
2921,dev,The Colosseum is in Beijing.,103264; 103264
2922,dev,"Diana, Princess of Wales's father lost the title of Earl Spencer.",50348
2923,dev,DJ Quik is vegan.,254349
2924,dev,The Disaster Artist (film) had over 2015 DVD sales.,266030
2925,dev,Penguin Books is a publishing pretzel.,83926
2926,dev,Kenneth Lonergan was born in New York.,214268
2927,dev,The Cretaceous is a Paleogene extinction event in 2001.,241275; 241275; 241275
2928,dev,Byron Howard turned down the opportunity to direct the film Zootopia in favor of becoming a wizard.,132413; 132413
2929,dev,Paramore is Canadian.,113200; 113200; 113200; 113200; 113200; 113200; 113200; 113200; 113200
2930,dev,Luke Cage is a person who has superhuman abilities.,150505
2931,dev,James Jones missed the playoffs once in 2007-2008.,83413
2932,dev,The media cites Mani Ratnam as one of India's influential filmmakers.,187457
2933,dev,Tom Baker has narrated television series.,190455
2934,dev,Danny Brown is a dancer.,55326
2935,dev,Savages is an American thriller film.,261498
2936,dev,Lou Gehrig was a brother.,51237
2937,dev,West Ham United F.C. was founded by Arnold Hills and Dave Taylor.,79739
2938,dev,Finding Dory was written by a Finn.,213700
2939,dev,Tata Motors is a constituent of the Boston Stock Exchange.,213170
2940,dev,Soul Foods was produced only by Tracey Edmonds.,52528
2941,dev,Ernest Medina was court martialed in Japan.,214321
2942,dev,Mel B released a work.,245429
2943,dev,Bradley Fuller is a plumber.,215944
2944,dev,Fidel Castro was a dictator in Cuba.,32527
2945,dev,Tijuana is on an island.,234938
2946,dev,Fist of Legend is an original film.,155684; 155872; 311655; 311658
2947,dev,David Spade was fired from being in Joe Dirt 2: Beautiful Loser.,40423
2948,dev,Stephen Hillenburg has always hated the ocean.,176758
2949,dev,"The Palace of Caserta, former home of the Bourbon royalty, lies near Naples.",32092
2950,dev,Brad Wilk died before starting his career as a drummer.,241421; 241421; 241423; 241423; 241423; 241423; 241423
2951,dev,Michelin Guides have been published for more than a decade.,173617
2952,dev,Paramore is from America.,147898
2953,dev,Matthew Gray Gubler was born in the nineties.,122733
2954,dev,The horse was not called a Eohippus when it had multiple toes.,25352
2955,dev,The Cry of the Owl is a 2009 thriller film starring Jim Carrey.,203333
2956,dev,Jason Katims is credited as Roswell's producer.,191491
2957,dev,Bad Romance was profitable around the world.,23683; 301487; 302533; 304445
2958,dev,Touchscreens are used in tablet gaming computers.,98021
2959,dev,Homo sapiens are considered of most concern on the IUCN Red List.,92354
2960,dev,Thomas Jefferson helped to organize a political party.,35297
2961,dev,Winter's Tale was released in 1983.,72744
2962,dev,Tenacious D is made up of zero Americans.,286055; 286064; 286064; 287761; 332757; 332758
2963,dev,Chile is in the western hemisphere.,63703
2964,dev,Soul Food was released by a corporation.,50435
2965,dev,Exercise is good for heart health.,19598
2966,dev,"English people are descended from the Saxons,",16956; 16956
2967,dev,Email filtering output is capable of throwing unwanted or dangerous messages  away.,103373
2968,dev,Mount Rushmore was built by Gutzon Borglum and his son Lincoln Borglum in the twentieth century.,23670
2969,dev,Akkineni Nageswara Rao shot Daag.,297548
2970,dev,"Luke Cage appeared in a comic book series Luke Cage, Hero for Hire.",85567
2971,dev,Rio's 2013 sequel is called Rio 2.,241688
2972,dev,Al Jardine is a rhythm guitarist.,206689
2973,dev,Buffy Summers appears in a book.,190717; 190717
2974,dev,The Godfather Part II featured an Academy Award for Best Actor nominated performance by Al Pacino.,71266
2975,dev,Qui-Gon Jinn is portrayed by an actor.,158729
2976,dev,Tamerlan Tsarnaev had a male sibling.,237933; 237933; 237933; 237933
2977,dev,Black Canary is a fictional character.,29177
2978,dev,The first inauguration of Bill Clinton made him President.,289761; 337064; 337461
2979,dev,Bones was created by Eric Kripke.,180266
2980,dev,"Chris Kyle danced on February 2, 2013.",16845
2981,dev,Tim McGraw had a supporting role in a film.,164908; 167037; 169104; 312304; 313551; 313553
2982,dev,Southampton F.C. has won a competition.,267299
2983,dev,Brick (film) is a mystery television show only.,250989
2984,dev,PacSun sells products designed for humans aged 13 to 20 years old.,18911
2985,dev,Efraim Diveroli is a Spaniard.,32223
2986,dev,Johnny Galecki only acted in NBC shows.,116531
2987,dev,No Country for Old Men was selected as the best of 2007 by the National Board of Review.,55706
2988,dev,Murda Beatz is from North America.,82037
2989,dev,Halsey signed her first recording contract in 2014 to Astralwerks.,74873
2990,dev,The CONCACAF Champions League is rarely organized for football clubs in Central America.,106632
2991,dev,The human brain is home to the conscience.,133430
2992,dev,Football is a sport that Terry Crews played professionally.,123293; 123293
2993,dev,Mary-Kate Olsen and Ashley Olsen are Americans from California.,251708
2994,dev,Danielle Cormack is a singer from New Zealand.,268397
2995,dev,Don Hall is Canadian.,211389
2996,dev,Goosebumps (film) was directed by a pig.,239920
2997,dev,Giada at Home was aired only on PBS.,271144
2998,dev,Bad Romance was one of the best-selling stocks of all time.,70519
2999,dev,Gordan Ramsay was ranked the 22nd highest earning celebrity in the world in 2015.,111397
3000,dev,Paris (Paris Hilton album) incorporates elements of capitalism.,153528
3001,dev,Kerplunk is by a communist punk rock band.,290504
3002,dev,Pearl Jam is not a band.,149591; 149592
3003,dev,A monster is American.,153483
3004,dev,Pharrell Williams is a person.,148069; 148069; 148069; 148069; 148069; 148069; 148069; 148069; 148069; 148069
3005,dev,The University of Illinois at Chicago is a college.,117898
3006,dev,Bones is solely a television pitch.,179488; 179488; 179488; 179488
3007,dev,Harold Macmillan served as the Prime Minister of France.,296236
3008,dev,"Diana, Princess of Wales's father inherited the title of Earl Spencer.",50347
3009,dev,Noel Fisher portrayed a fictional character.,111808; 111808
3010,dev,Poseidon had a trident worth $160 million.,240386
3011,dev,Duane Chapman is Catholic.,36540
3012,dev,John Deighton developed swelling of the legs.,126896
3013,dev,Veeram's subject was Siva.,188616
3014,dev,Angelsberg had a population of 283 in the Middle Ages.,138338
3015,dev,James VI and I was a leader.,287151; 290853; 290853; 290853; 290853; 290853; 290853; 335234; 335234; 335234; 335234; 335234; 335234; 335234; 335234; 335234; 335234; 335243
3016,dev,Poldark has been commissioned for a third video game.,173290
3017,dev,Men in Black II features Tommy Lee Jones.,72719
3018,dev,Derek Hough starred in a King-Lear-inspired film.,275883
3019,dev,Drake Bell is a brother.,194465
3020,dev,Despicable Me 2 was animated by a company.,238989
3021,dev,The Good Wife did not produce a full 22 episode season.,171166
3022,dev,Touchscreens are used in Japan.,106721
3023,dev,The United Nations Charter was signed in Germany.,128021
3024,dev,"Prescott, Arizona is an album.",249778; 249778; 249778; 253157; 253158; 320854
3025,dev,100 percent of the University of Mississippi's students come from Mississippi.,155673
3026,dev,Yandex operates only outside of Kazakhstan.,223858
3027,dev,Frozen ranks as the third-most-expensive original film of all time.,230168
3028,dev,"So You Think You Can Dance was canceled on July 20th, 2005.",210225
3029,dev,Don Bradman was an athlete.,193451; 193451; 193451; 193451; 193451; 193451; 193451; 193451; 193451
3030,dev,Tom Baker is from America.,190460
3031,dev,"In 2013, Gal Gadot was ranked as a high earning actress/model, the majority of her income coming from acting.",175135
3032,dev,Ashley Graham is a plus-size singer.,78685
3033,dev,Aunt May is a character that appeared in media adaptations of a type of creative work.,203707
3034,dev,"Wildfang was established in Portland, Oregon.",135217
3035,dev,Home for the Holidays stars an American singer.,215837
3036,dev,The World Trade Center was destroyed as the result of a series of attacks on 9/11/01.,206506
3037,dev,Rupert Murdoch has worked since at least 1979 and has been criticized.,103566
3038,dev,Despacito has a version which features a lengthier bridge.,52717
3039,dev,Dub music is a genre of film.,205357
3040,dev,"Keith Urban was only released on October 1, 1991.",223865
3041,dev,Avenged Sevenfold is an album by an American jazz band.,239258
3042,dev,Mickey Rourke appeared in The Expendables in 2005.,189872
3043,dev,Libya is the smallest country in the world.,259474
3044,dev,The Mod Squad is an American television series.,18823
3045,dev,"Gray Matter Interactive Studios, Inc. was a board game developer.",253957
3046,dev,Roland Emmerich is a collector of stamps.,225932
3047,dev,The dress was online.,292818; 295404; 297150; 340806
3048,dev,The Palace of Caserta is near Naples.,32086
3049,dev,Part of Dilwale Dulhania Le Jayenge was filmed in France.,286060; 287768; 288455; 332762
3050,dev,The Cretaceous is an event.,241295; 241295; 241295
3051,dev,The Daily Show is comedy focused.,64388; 64390; 64390
3052,dev,The Bermuda Triangle is known by no other name.,218162
3053,dev,The human brain is set apart from mammalian brains by the size of the cerebral cortex.,276694
3054,dev,A Milli is an album rather than a song.,39519
3055,dev,The Road to El Dorado stars Kenneth Branagh and a dog.,134682
3056,dev,Goosebumps (film) was written by Darren Lemke in 2000.,239932
3057,dev,Luke Cage is a superhero.,63322; 63322
3058,dev,Edison Machine Works was founded to make big motors running on electricity.,119409
3059,dev,Wilhelmina Slater name at birth was Wanda Smith.,59953
3060,dev,Shooter stars Robin Williams in the lead role.,91096
3061,dev,Halsey signed a recording contract in 2014.,153859
3062,dev,The ruins of the ancient Roman town of Herculaneum lie two hundred miles from Naples.,27991
3063,dev,Dakota Fanning was involved with a film called Jane in The Twilight Saga.,237572
3064,dev,Dave Gibbons's son's name is Chester.,198072
3065,dev,Bhagat Singh was Indian.,93764
3066,dev,The Bloods have distinctive feet signs.,73004
3067,dev,A Floppy disk is unrelated to disk storage.,71411
3068,dev,Human trafficking is the trade of animals.,109653; 109654
3069,dev,Always premiered at the American Film Festival.,65307
3070,dev,Luis Fonsi was born in 1978.,76167
3071,dev,"Seohyun was born on Monday June 28, 1991.",51373
3072,dev,Gordan Ramsay has not had apprentices.,73394
3073,dev,Seohyun is only a cook.,29497
3074,dev,Bessie Smith has American citizenship.,156080
3075,dev,Shooter cast a dog in the lead role.,69537
3076,dev,The dress inspired fresh insights into human color vision.,26829; 26832
3077,dev,Awkward Black Girl is an American comedy web series on YouTube.,50951; 50951
3078,dev,Soyuz was designed ergonomically.,110604
3079,dev,The Gifted fails to be a television series.,167765; 167766
3080,dev,WGBH-TV is an American television station.,211275; 211275
3081,dev,The first inauguration of Bill Clinton was held on July 4th.,249799; 253129; 254872; 320857; 320859; 320868
3082,dev,Jens Stoltenberg only served one term as Prime Minister of Norway.,282658; 284591; 330819; 330837; 331939
3083,dev,"Capsicum chinense is a member of the nightshade family, Waluigi.",260893
3084,dev,Scotty Moore was only a mechanical engineer.,42252
3085,dev,Birthday Song (2 Chainz song) was banned by Sonny Digital.,117832
3086,dev,Henry II of France died in a tournament held to celebrate the Treaty of Versailles.,52403
3087,dev,Excuse My French is an album.,246625
3088,dev,Blue Jasmine is about a rich Bostonian socialite who falls on hard times.,286541; 288719; 333485; 334416
3089,dev,The Hindu Kush remains below sea level for its entire breadth.,167184; 167184
3090,dev,Larry the Cable Guy series finale aired on the month of September.,228166; 228167
3091,dev,Dakota Fanning is not American.,66154
3092,dev,Don Bradman's status as a regional icon was recognized after his retirement.,193435
3093,dev,Stephen Hillenburg was raised on a farm.,39671
3094,dev,A person who was known for his work in mass spectrometry discovered Uranium-235.,50322
3095,dev,David Spade appeared in Tommy Boy.,110729
3096,dev,Gal Gadot was ranked as a top earning actress/model in Israel.,177271
3097,dev,Michaela Watkins has a stand-up comedy show.,268497
3098,dev,Polynesian languages include french.,239640
3099,dev,Varsity Blues (film) has a domestic box office gross of $52 million Hong Kong dollars.,240558
3100,dev,"After Chechen-Ingush ASSR split into two, Ingushetia was established.",84980
3101,dev,Youtube is ranked as the second most popular business in the world.,95222
3102,dev,Middle-earth was criticized by J. R. R. Tolkien.,194730
3103,dev,Netflix is who Trollhunters was created for.,100035
3104,dev,Black Canary is real.,292244; 339499; 339500; 339509; 339524
3105,dev,Eddie Guerrero had estates that were incorporated into his storylines.,125542
3106,dev,Wales is an island.,87741
3107,dev,Veeru Devgan works in Bollywood and Hollywood.,115751
3108,dev,From 2005 to 2013 Jens Stoltenberg was Prime Minister of Norway.,76943
3109,dev,Kellyanne Conway has been embroiled in a series of crimes.,44794
3110,dev,Chris Eubank Jr. was born.,129961
3111,dev,Kentucky's horse racing is unpopular.,268049
3112,dev,Kerplunk is by a Russian pop band.,105003
3113,dev,Dave Gibbons was born on April 14.,198038
3114,dev,San Diego Comic-Con was founded in 1990.,275914; 278202; 278203; 278204; 325097; 325097; 325101
3115,dev,T2 Trainspotting is set in and around Dundee.,144139; 144141; 144142; 144155
3116,dev,Garden State was an official selection.,25350; 26647; 28971; 302663; 304206; 304552
3117,dev,Stephen Hillenburg  developed an interest in art and the ocean.,85474
3118,dev,Touchscreens are only used in computers.,78478; 78478
3119,dev,Janelle Monáe is an entertainer.,23343; 23343; 23343
3120,dev,Stripes featured a montage.,228445
3121,dev,Bessie Smith died.,122248
3122,dev,Marjorie Gross was a film writer.,222954; 222954
3123,dev,Anushka Sharma won a Filmfare Award for Best Supporting Actress.,28632
3124,dev,Giada at Home aired on a channel owned by Turner Broadcasting.,271143
3125,dev,Keith Urban is the second studio album by Keith Urban and was released in 1999.,223870
3126,dev,Gal Gadot was ranked as a high earning actress/model in Israel.,185729
